CensusTract,State,County,Urban,POP2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
1001020100,Alabama,Autauga,1,1912,693,0,0,0,0,0,0,0,0,0,10,74750,1,1,1,1,1,0,0,0,1357.48094,1732.225468,1357.48094,322.084612,411.6907544,322.084612,1732.225468,0.905975663,411.6907544,0.215319432,466.4264295,0.243946877,198.8282203,0.103989655,1482.881417,0.775565595,184.3191057,0.096401206,12.71812064,0.006651737,0,0,13.96993294,0.00730645,38.33689667,0.020050678,39.69502112,0.020760994,21.55624754,0.031105696,101.8773979,0.147009232,1357.48094,0.709979571,322.084612,0.168454295,363.6383811,0.190187438,162.497246,0.084988099,1161.802553,0.607637318,147.4876657,0.0771379,11.01510645,0.005761039,0,0,9.996592189,0.005228343,27.17903044,0.014214974,29.71553567,0.015541598,9.772854674,0.014102243,79.54684341,0.11478621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448,507,221,1622,217,14,0,14,45,44,26,112
1001020200,Alabama,Autauga,1,2170,743,0,181,0.0834101,0,0,0,0,0,0,18.2,51875,0,1,0,1,0,0,0,0,483.4296825,1410.374828,483.4296825,145.1414179,475.3060314,145.1414179,1410.374828,0.649942317,475.3060314,0.219035038,448.1635118,0.206526964,139.3053901,0.064196032,412.291349,0.189996013,945.3177958,0.435630321,4.000000127,0.001843318,0,0,4.717581929,0.002174001,44.04810121,0.020298664,34.58790941,0.015939129,58.62896541,0.078908433,127.3677448,0.171423613,483.4296825,0.222778656,145.1414179,0.066885446,174.7704695,0.080539387,50.97682156,0.023491623,128.1609954,0.059060367,335.4477207,0.154584203,1.590926945,0.000733146,0,0,0.263510734,0.000121434,17.96653127,0.008279507,11.17358974,0.00514912,21.6383365,0.029122929,41.70096445,0.05612512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,763,606,214,888,1217,5,0,5,55,75,87,202
1001020300,Alabama,Autauga,1,3373,1256,0,0,0,0,0,0,0,0,0,19.1,52905,1,1,1,1,1,0,0,0,1417.874893,2764.604126,1417.874893,696.6367968,1350.176549,696.6367968,2764.604126,0.819627669,1350.176549,0.400289519,744.891575,0.220839483,346.2030966,0.102639519,2114.851375,0.626994182,528.0501011,0.156552061,9.031083108,0.002677463,0.999999994,0.000296472,9.964775262,0.002954277,101.7067976,0.030153216,76.4086176,0.022653014,49.13971069,0.039123973,100.178387,0.079759862,1417.874893,0.420360182,696.6367968,0.206533293,377.1281318,0.111807925,190.0014798,0.056330116,1168.023745,0.346286316,202.4885154,0.060032172,7.823385944,0.002319415,0,0,1.656479462,0.0004911,37.8827746,0.011231181,31.22826762,0.009258306,13.30561171,0.01059364,50.26342248,0.040018648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1578,894,439,2576,647,17,5,11,117,87,108,120
1001020400,Alabama,Autauga,1,4386,1722,0,0,0,0,0,0,0,0,0,3.3,68079,1,1,1,1,1,0,0,0,1363.466885,3651.061015,1363.466885,409.5878361,1067.844499,409.5878361,3651.061015,0.832435252,1067.844499,0.243466598,846.6137828,0.193026398,766.5214912,0.174765502,3395.06192,0.774067925,170.0654518,0.038774613,14.87475361,0.003391417,2.638384104,0.000601547,8.033406069,0.001831602,60.3871135,0.013768152,61.43777905,0.014007702,17.52511205,0.010177185,67.71319825,0.039322415,1363.466885,0.310867963,409.5878361,0.09338528,345.9668823,0.078879818,236.526445,0.053927598,1233.274439,0.281184323,80.94741976,0.018455864,6.875032282,0.001567495,2,0.000455996,3.539940239,0.0008071,36.83005415,0.008397185,29.85953993,0.006807921,8.782160037,0.005099977,24.40174821,0.014170585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1241,1015,904,4086,193,18,4,11,74,85,19,82
1001020500,Alabama,Autauga,1,10766,4082,0,181,0.0168122,0,0,0,0,1,0,8.5,77819,1,1,1,1,1,0,0,1,2643.095161,7778.396188,2643.095161,623.0765553,1913.453614,623.0765553,7778.396188,0.722496395,1913.453614,0.177731155,2309.475651,0.214515665,839.8854706,0.078012769,6298.710335,0.585055762,1000.678496,0.09294803,208.9827709,0.019411366,5.196509701,0.000482678,37.99405006,0.003529078,226.8340617,0.021069484,276.9145909,0.025721214,129.5966613,0.031748325,339.0707925,0.083064868,2643.095161,0.245503916,623.0765553,0.057874471,714.5535894,0.066371316,361.6755048,0.033594232,2167.771355,0.20135346,343.210836,0.031879141,47.49454183,0.004411531,0.95319654,8.85377E-05,13.56096511,0.00125961,70.10427817,0.006511636,85.81375597,0.007970811,44.65701192,0.010939983,119.9464745,0.029384242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2692,3162,1126,8666,1437,296,9,48,310,355,198,488
1001020600,Alabama,Autauga,1,3668,1311,0,0,0,0,0,0,0,0,0,14.1,67218,1,1,1,1,1,0,0,0,2568.5455,3540.571275,2568.5455,1090.734565,1455.49135,1090.734565,3540.571275,0.965259344,1455.49135,0.396807893,980.9159181,0.267425278,391.3268365,0.106686706,2633.216593,0.71788893,737.0355441,0.200936626,9.000000098,0.002453653,1.000000039,0.000272628,9.179384839,0.002502559,151.1397573,0.04120495,175.9130477,0.047958846,67.89156618,0.051786092,118.8939544,0.090689515,2568.5455,0.70025777,1090.734565,0.297364931,712.2914256,0.194190683,263.7528625,0.071906451,1795.082388,0.489389964,620.4869003,0.169162187,7.903557624,0.002154732,0.451778802,0.000123168,6.69587739,0.001825485,137.9250011,0.037602236,156.5622058,0.042683262,67.89156618,0.051786092,87.49266711,0.066737351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1504,1008,411,2751,740,9,1,10,157,176,49,118
1001020700,Alabama,Autauga,1,2891,1188,0,36,0.0124524,1,1,1,1,1,1,26.4,43646,1,1,1,1,1,0,0,1,1230.979862,2236.617224,1230.979862,652.3856368,1062.889592,652.3856368,2236.617224,0.773648296,1062.889592,0.36765465,549.7150913,0.19014704,265.5684474,0.091860411,1803.42882,0.623807963,334.8009319,0.115808001,9.999773835,0.003458932,2.777752762,0.000960828,8.70976978,0.003012719,76.90017981,0.026599855,81.00294513,0.028019006,127.3541697,0.10720048,198.7795034,0.167322814,1230.979862,0.425797254,652.3856368,0.225660891,298.1549138,0.103132104,109.2111665,0.03777626,1005.076891,0.347657174,158.0932516,0.054684625,3.754590955,0.001298717,2.306065773,0.000797671,3.922282064,0.001356722,57.82678217,0.020002346,55.834953,0.01931337,73.86541938,0.062176279,109.6950363,0.092335889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1240,686,360,2333,435,13,3,11,96,98,134,218
1001020801,Alabama,Autauga,0,3081,1074,0,0,0,0,0,0,0,1,0,13.6,74284,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3080.999986,0.999999995,599.9604047,0.194729115,814.9999978,0.264524504,340.9999993,0.110678351,2689.999991,0.873093149,277.999999,0.090230444,16.0000001,0.005193119,0,0,26.99999978,0.008763388,69.99999948,0.022719896,56.99999971,0.018500487,111.3458067,0.103673935,104.6694913,0.097457627,3080.999986,0.999999995,599.9604047,0.194729115,814.9999978,0.264524504,340.9999993,0.110678351,2689.999991,0.873093149,277.999999,0.090230444,16.0000001,0.005193119,0,0,26.99999978,0.008763388,69.99999948,0.022719896,56.99999971,0.018500487,111.3458067,0.103673935,104.6694913,0.097457627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,649,815,341,2690,278,16,0,27,70,57,126,115
1001020802,Alabama,Autauga,0,10435,3694,0,0,0,0,0,0,0,0,0,13.8,68713,0,0,0,0,0,0,0,0,251.8869139,251.8869139,0,96.4136278,96.4136278,0,10434.99998,0.999999998,3758.082427,0.360142063,2909.000013,0.27877336,1059.999999,0.101581217,8743.999985,0.837949208,1387.000001,0.132918064,61.00000029,0.005845712,7.000000178,0.000670819,48.99999998,0.004695736,187.0000017,0.01792046,159.0000002,0.015237183,75.76038466,0.020509038,364.7290822,0.098735539,10434.99998,0.999999998,3758.082427,0.360142063,2909.000013,0.27877336,1059.999999,0.101581217,8743.999985,0.837949208,1387.000001,0.132918064,61.00000029,0.005845712,7.000000178,0.000670819,48.99999998,0.004695736,187.0000017,0.01792046,159.0000002,0.015237183,75.76038466,0.020509038,364.7290822,0.098735539,251.8869139,0.02413866,96.4136278,0.009239447,65.21062416,0.006249221,24.42190629,0.002340384,136.0241145,0.013035373,110.9806881,0.010635428,0,0,0,0,0,0,4.882115755,0.00046786,1.783644396,0.000170929,1.299779601,0.000351862,8.479944879,0.0022956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3762,2909,1060,8744,1387,61,7,49,187,159,82,367
1001020900,Alabama,Autauga,0,5675,2067,0,14,0.002467,0,0,0,0,0,0,12.8,52994,1,1,0,0,0,1,0,0,2047.118504,2047.118504,0,689.7267051,689.7267051,0,5674.999998,1,1692.135182,0.2981736,1510.999997,0.266255506,629.9999992,0.111013216,4835.000009,0.851982381,678.9999934,0.119647576,20.00000016,0.003524229,2.999999909,0.000528634,14.00000002,0.00246696,123.9999998,0.02185022,95.99999972,0.0169163,30.93423437,0.014965764,391.1613823,0.189241114,5674.999998,1,1692.135182,0.2981736,1510.999997,0.266255506,629.9999992,0.111013216,4835.000009,0.851982381,678.9999934,0.119647576,20.00000016,0.003524229,2.999999909,0.000528634,14.00000002,0.00246696,123.9999998,0.02185022,95.99999972,0.0169163,30.93423437,0.014965764,391.1613823,0.189241114,2047.118504,0.360725728,689.7267051,0.121537745,539.1005128,0.094995685,241.6047054,0.042573516,1594.282376,0.280930815,400.4252353,0.070559513,4.278660071,0.000753949,2.999999909,0.000528634,7.300753491,0.001286476,37.83147782,0.00666634,41.48355512,0.007309878,17.30526845,0.008372167,142.7337074,0.069053559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1742,1511,630,4835,679,20,3,14,124,96,32,394
